lr: 0.0000300 | Train loss: 0.4652893543243408 | Validation loss: 0.37795954942703247 | Validation accuracy: 43.51245085190039 | QWKappa: 0.6844433570260525 | QWKappa Karolinska: 0.66464761235527 | QWKappa Radboud: 0.618846513030461
lr: 0.0000300 | Train loss: 0.4862789511680603 | Validation loss: 0.38138657808303833 | Validation accuracy: 38.051550895587596 | QWKappa: 0.6757998380776 | QWKappa Karolinska: 0.6529435461420303 | QWKappa Radboud: 0.5915777931058877
lr: 0.0003000 | Train loss: 0.40269535779953003 | Validation loss: 0.39931997656822205 | Validation accuracy: 29.31411096548711 | QWKappa: 0.7068715307326232 | QWKappa Karolinska: 0.6888131635079281 | QWKappa Radboud: 0.6517439769260875
lr: 0.0000300 | Train loss: 0.29106831550598145 | Validation loss: 0.286455899477005 | Validation accuracy: 48.62385321100918 | QWKappa: 0.8092565246194887 | QWKappa Karolinska: 0.8142552501914071 | QWKappa Radboud: 0.7552887344401318
lr: 0.0000299 | Train loss: 0.26562127470970154 | Validation loss: 0.2648272216320038 | Validation accuracy: 55.35168195718655 | QWKappa: 0.8242804197301854 | QWKappa Karolinska: 0.8145330329085595 | QWKappa Radboud: 0.7902487289007746
lr: 0.0000296 | Train loss: 0.2565743923187256 | Validation loss: 0.25738459825515747 | Validation accuracy: 56.53123634775012 | QWKappa: 0.8399574495512866 | QWKappa Karolinska: 0.8394781809287898 | QWKappa Radboud: 0.8014736685674169
lr: 0.0000292 | Train loss: 0.24537669122219086 | Validation loss: 0.24460092186927795 | Validation accuracy: 58.0602883355177 | QWKappa: 0.8406171682517029 | QWKappa Karolinska: 0.8392360522209756 | QWKappa Radboud: 0.8045247902723178
lr: 0.0000286 | Train loss: 0.23655064404010773 | Validation loss: 0.24073117971420288 | Validation accuracy: 56.618610747051115 | QWKappa: 0.838624630490892 | QWKappa Karolinska: 0.835335807123361 | QWKappa Radboud: 0.8046066962215751
lr: 0.0000279 | Train loss: 0.22854506969451904 | Validation loss: 0.23813305795192719 | Validation accuracy: 58.19134993446921 | QWKappa: 0.8372948687094354 | QWKappa Karolinska: 0.842288138263465 | QWKappa Radboud: 0.7928293848683591
lr: 0.0000269 | Train loss: 0.22130627930164337 | Validation loss: 0.23683199286460876 | Validation accuracy: 60.85626911314985 | QWKappa: 0.8524197533942174 | QWKappa Karolinska: 0.8535836821407639 | QWKappa Radboud: 0.8163831868422297
lr: 0.0000259 | Train loss: 0.21678578853607178 | Validation loss: 0.2397836446762085 | Validation accuracy: 58.40978593272171 | QWKappa: 0.8558528353739356 | QWKappa Karolinska: 0.8671933299687561 | QWKappa Radboud: 0.811017833891203
lr: 0.0000247 | Train loss: 0.20840802788734436 | Validation loss: 0.23893941938877106 | Validation accuracy: 62.38532110091744 | QWKappa: 0.8383714368132875 | QWKappa Karolinska: 0.8438691751773539 | QWKappa Radboud: 0.7940890502086286
lr: 0.0000234 | Train loss: 0.2023194283246994 | Validation loss: 0.22750185430049896 | Validation accuracy: 61.55526430755789 | QWKappa: 0.8583048610576102 | QWKappa Karolinska: 0.8711212782845033 | QWKappa Radboud: 0.8141032347938384
lr: 0.0000220 | Train loss: 0.197996586561203 | Validation loss: 0.22883836925029755 | Validation accuracy: 60.419397116644824 | QWKappa: 0.8568460296303786 | QWKappa Karolinska: 0.8614746289720836 | QWKappa Radboud: 0.8192737474074522
