lr: 0.0000300 | Train loss: 0.4608623683452606 | Validation loss: 0.5035409331321716 | Validation accuracy: 31.463990554899645 | QWKappa: 0.6241945133019022 | QWKappa Karolinska: 0.5851558096937818 | QWKappa Radboud: 0.5856202666215224
lr: 0.0003000 | Train loss: 0.3786395490169525 | Validation loss: 0.7864289879798889 | Validation accuracy: 16.82408500590319 | QWKappa: 0.48388170507852324 | QWKappa Karolinska: 0.4345498424474913 | QWKappa Radboud: 0.4672935910726974
lr: 0.0003000 | Train loss: 0.30680474638938904 | Validation loss: 0.5652634501457214 | Validation accuracy: 32.70365997638725 | QWKappa: 0.5675988797145788 | QWKappa Karolinska: 0.5993948733793271 | QWKappa Radboud: 0.45518037843204917
lr: 0.0002991 | Train loss: 0.2828527092933655 | Validation loss: 0.6370813846588135 | Validation accuracy: 28.45336481700118 | QWKappa: 0.3945489125492647 | QWKappa Karolinska: 0.4589364997418688 | QWKappa Radboud: 0.28838500916160104
lr: 0.0002965 | Train loss: 0.26343458890914917 | Validation loss: 0.7445772290229797 | Validation accuracy: 23.140495867768596 | QWKappa: 0.4176570891881788 | QWKappa Karolinska: 0.4755383224404428 | QWKappa Radboud: 0.3390033110635302
lr: 0.0002921 | Train loss: 0.2533250153064728 | Validation loss: 0.6297817826271057 | Validation accuracy: 26.623376623376622 | QWKappa: 0.3855629116569351 | QWKappa Karolinska: 0.5433114926681877 | QWKappa Radboud: 0.23094068545150748
lr: 0.0002861 | Train loss: 0.24080733954906464 | Validation loss: 0.6698570251464844 | Validation accuracy: 20.425029515938604 | QWKappa: 0.44388446529550385 | QWKappa Karolinska: 0.4754680078061533 | QWKappa Radboud: 0.3623335357128882
lr: 0.0002785 | Train loss: 0.22575406730175018 | Validation loss: 0.7294080853462219 | Validation accuracy: 21.66469893742621 | QWKappa: 0.3019697737591104 | QWKappa Karolinska: 0.4699840747521483 | QWKappa Radboud: 0.10126501391962595
lr: 0.0002694 | Train loss: 0.21911783516407013 | Validation loss: 0.7826637029647827 | Validation accuracy: 22.904368358913814 | QWKappa: 0.3000110478054323 | QWKappa Karolinska: 0.28193490919887776 | QWKappa Radboud: 0.3170386625472814
lr: 0.0002589 | Train loss: 0.20943234860897064 | Validation loss: 0.7574270367622375 | Validation accuracy: 26.26918536009445 | QWKappa: 0.4147063856210188 | QWKappa Karolinska: 0.47929954236114103 | QWKappa Radboud: 0.291520678452436
lr: 0.0002471 | Train loss: 0.1991322636604309 | Validation loss: 0.8944743275642395 | Validation accuracy: 22.136953955135773 | QWKappa: 0.2841502734284478 | QWKappa Karolinska: 0.19895622691772108 | QWKappa Radboud: 0.33194388863672375
lr: 0.0002342 | Train loss: 0.1935570389032364 | Validation loss: 0.9024810791015625 | Validation accuracy: 22.96340023612751 | QWKappa: 0.377509085247154 | QWKappa Karolinska: 0.3081811737435546 | QWKappa Radboud: 0.44364596333231376
lr: 0.0002203 | Train loss: 0.183462992310524 | Validation loss: 0.8137964606285095 | Validation accuracy: 20.484061393152302 | QWKappa: 0.12940186758643912 | QWKappa Karolinska: 0.2804703835892999 | QWKappa Radboud: 0.061699023344449655
lr: 0.0002055 | Train loss: 0.17448343336582184 | Validation loss: 0.7946991920471191 | Validation accuracy: 24.025974025974026 | QWKappa: 0.3725042670940055 | QWKappa Karolinska: 0.44202193344728036 | QWKappa Radboud: 0.3377081657742046
lr: 0.0001901 | Train loss: 0.16622650623321533 | Validation loss: 0.9263797402381897 | Validation accuracy: 25.914994096812276 | QWKappa: 0.31530956617782413 | QWKappa Karolinska: 0.4117862081207839 | QWKappa Radboud: 0.24360570478721588
lr: 0.0000300 | Train loss: 0.4837183952331543 | Validation loss: 0.6119073033332825 | Validation accuracy: 24.08500590318772 | QWKappa: 0.18474259158669815 | QWKappa Karolinska: 0.00782248678762909 | QWKappa Radboud: 0.10539366624339896
lr: 0.0003000 | Train loss: 0.3942883014678955 | Validation loss: 0.7179852724075317 | Validation accuracy: 21.19244391971665 | QWKappa: 0.13319844492493937 | QWKappa Karolinska: 0.06794056771824675 | QWKappa Radboud: 0.13638771044761744
lr: 0.0003000 | Train loss: 0.31347739696502686 | Validation loss: 0.7687884569168091 | Validation accuracy: 18.240850059031878 | QWKappa: -0.0035240760634853707 | QWKappa Karolinska: 0.03028766984412301 | QWKappa Radboud: 0.05833171148821292
lr: 0.0002991 | Train loss: 0.28216952085494995 | Validation loss: 0.9346584677696228 | Validation accuracy: 19.71664698937426 | QWKappa: 0.15985134014341074 | QWKappa Karolinska: 0.205225058160453 | QWKappa Radboud: 0.1594853557249306
lr: 0.0002965 | Train loss: 0.26502543687820435 | Validation loss: 0.8307856917381287 | Validation accuracy: 21.074380165289256 | QWKappa: 0.13262676678839624 | QWKappa Karolinska: 0.23108330631189566 | QWKappa Radboud: -0.1247065799081919
lr: 0.0002921 | Train loss: 0.2522241771221161 | Validation loss: 0.9646613001823425 | Validation accuracy: 20.425029515938604 | QWKappa: 0.2139176935299637 | QWKappa Karolinska: 0.14383701615909272 | QWKappa Radboud: 0.1627834704005393
lr: 0.0002861 | Train loss: 0.24199645221233368 | Validation loss: 0.7916788458824158 | Validation accuracy: 22.96340023612751 | QWKappa: 0.25304927169811986 | QWKappa Karolinska: 0.18311709779678187 | QWKappa Radboud: 0.15053013305176888
lr: 0.0002785 | Train loss: 0.23463943600654602 | Validation loss: 0.9460074305534363 | Validation accuracy: 24.14403778040142 | QWKappa: 0.35894307557063043 | QWKappa Karolinska: 0.35463323308352757 | QWKappa Radboud: 0.22006078146563757
lr: 0.0002694 | Train loss: 0.22574380040168762 | Validation loss: 1.1076359748840332 | Validation accuracy: 22.136953955135773 | QWKappa: 0.318235195187329 | QWKappa Karolinska: 0.22928366657778676 | QWKappa Radboud: 0.3197589581051429
lr: 0.0002589 | Train loss: 0.2131720334291458 | Validation loss: 1.0672246217727661 | Validation accuracy: 25.50177095631641 | QWKappa: 0.375615567112083 | QWKappa Karolinska: 0.26211086402125805 | QWKappa Radboud: 0.33769014700130284
